date;heure;NO2;O3
;;microg/m3;microg/m3
30/05/2019;7;11;25
30/05/2019;8;11;25
30/05/2019;9;10;27
30/05/2019;10;9;29
30/05/2019;11;9;29
30/05/2019;12;9;33
30/05/2019;13;11;34
30/05/2019;14;9;37
30/05/2019;15;7;39
30/05/2019;16;7;38
30/05/2019;17;8;36
30/05/2019;18;12;33
30/05/2019;19;14;31
30/05/2019;20;15;27
30/05/2019;21;19;24
30/05/2019;22;17;25
30/05/2019;23;22;23
30/05/2019;24;25;22
31/05/2019;1;25;21
31/05/2019;2;21;23
31/05/2019;3;18;25
31/05/2019;4;24;16
31/05/2019;5;29;14
31/05/2019;6;39;10
31/05/2019;7;35;18
31/05/2019;8;39;19
31/05/2019;9;19;40
31/05/2019;10;14;49
31/05/2019;11;13;51
31/05/2019;12;9;59
31/05/2019;13;10;65
31/05/2019;14;13;70
31/05/2019;15;14;80
31/05/2019;16;13;89
31/05/2019;17;14;90
31/05/2019;18;17;85
31/05/2019;19;21;78
31/05/2019;20;22;66
31/05/2019;21;43;40
31/05/2019;22;65;15
31/05/2019;23;78;2
31/05/2019;24;82;0
01/06/2019;1;74;0
01/06/2019;2;61;2
01/06/2019;3;51;3
01/06/2019;4;50;0
01/06/2019;5;49;1
01/06/2019;6;45;8
01/06/2019;7;42;17
01/06/2019;8;32;38
01/06/2019;9;15;59
01/06/2019;10;10;73
01/06/2019;11;9;94
01/06/2019;12;9;97
01/06/2019;13;8;95
01/06/2019;14;8;94
01/06/2019;15;8;97
01/06/2019;16;8;101
01/06/2019;17;9;102
01/06/2019;18;11;94
01/06/2019;19;19;79
01/06/2019;20;29;62
01/06/2019;21;36;48
01/06/2019;22;36;44
01/06/2019;23;33;43
01/06/2019;24;27;49
02/06/2019;1;23;49
02/06/2019;2;13;55
02/06/2019;3;14;51
02/06/2019;4;22;39
02/06/2019;5;28;31
02/06/2019;6;24;38
02/06/2019;7;18;52
02/06/2019;8;18;65
02/06/2019;9;18;73
02/06/2019;10;15;86
02/06/2019;11;11;92
02/06/2019;12;11;101
02/06/2019;13;10;108
02/06/2019;14;14;107
02/06/2019;15;13;105
02/06/2019;16;12;108
02/06/2019;17;13;102
02/06/2019;18;16;99
02/06/2019;19;17;90
02/06/2019;20;23;77
02/06/2019;21;31;69
02/06/2019;22;25;72
02/06/2019;23;12;76
02/06/2019;24;13;72
03/06/2019;1;10;71
03/06/2019;2;9;69
03/06/2019;3;8;67
03/06/2019;4;9;59
03/06/2019;5;14;48
03/06/2019;6;24;32
03/06/2019;7;39;18
03/06/2019;8;34;22
03/06/2019;9;34;20
03/06/2019;10;24;29
03/06/2019;11;20;30
03/06/2019;12;16;35
03/06/2019;13;17;37
03/06/2019;14;16;39
03/06/2019;15;15;50
03/06/2019;16;16;52
03/06/2019;17;13;64
03/06/2019;18;15;64
03/06/2019;19;17;62
03/06/2019;20;16;64
03/06/2019;21;16;61
03/06/2019;22;14;61
03/06/2019;23;37;39
03/06/2019;24;32;41
04/06/2019;1;44;25
04/06/2019;2;32;38
04/06/2019;3;30;32
04/06/2019;4;30;22
04/06/2019;5;44;4
04/06/2019;6;50;1
04/06/2019;7;56;3
04/06/2019;8;54;6
04/06/2019;9;39;26
04/06/2019;10;21;50
04/06/2019;11;16;66
04/06/2019;12;15;82
04/06/2019;13;14;92
04/06/2019;14;21;84
04/06/2019;15;22;86
04/06/2019;16;27;80
04/06/2019;17;18;65
04/06/2019;18;16;61
04/06/2019;19;13;59
04/06/2019;20;11;56
04/06/2019;21;17;48
04/06/2019;22;21;42
04/06/2019;23;11;54
04/06/2019;24;9;54
05/06/2019;1;5;64
05/06/2019;2;4;70
05/06/2019;3;12;66
05/06/2019;4;21;48
05/06/2019;5;35;32
05/06/2019;6;27;45
05/06/2019;7;30;44
05/06/2019;8;24;46
05/06/2019;9;29;44
05/06/2019;10;33;41
05/06/2019;11;40;29
05/06/2019;12;39;26
05/06/2019;13;33;32
05/06/2019;14;33;34
05/06/2019;15;38;31
05/06/2019;16;36;40
05/06/2019;17;31;37
05/06/2019;18;29;39
05/06/2019;19;25;46
05/06/2019;20;21;49
05/06/2019;21;18;42
05/06/2019;22;24;37
05/06/2019;23;19;36
05/06/2019;24;14;38
06/06/2019;1;13;37
06/06/2019;2;8;37
06/06/2019;3;15;28
06/06/2019;4;26;19
06/06/2019;5;33;13
06/06/2019;6;43;8
06/06/2019;7;39;11
06/06/2019;8;30;25
06/06/2019;9;18;39
06/06/2019;10;15;50
06/06/2019;11;11;59
06/06/2019;12;10;64
06/06/2019;13;11;70
06/06/2019;14;12;73
06/06/2019;15;12;75
06/06/2019;16;13;77
06/06/2019;17;13;75
06/06/2019;18;15;72
06/06/2019;19;15;69
06/06/2019;20;14;61
06/06/2019;21;23;47
06/06/2019;22;32;37
06/06/2019;23;25;44
06/06/2019;24;16;49
07/06/2019;1;12;51
07/06/2019;2;8;55
07/06/2019;3;8;58
07/06/2019;4;10;58
07/06/2019;5;21;47
07/06/2019;6;27;39
07/06/2019;7;23;37
07/06/2019;8;26;35
07/06/2019;9;35;37
07/06/2019;10;24;74
07/06/2019;11;25;80
07/06/2019;12;18;92
07/06/2019;13;14;92
07/06/2019;14;11;87
07/06/2019;15;12;79
07/06/2019;16;17;66
07/06/2019;17;16;67
07/06/2019;18;16;75
07/06/2019;19;15;68
07/06/2019;20;15;66
07/06/2019;21;11;67
07/06/2019;22;10;64
07/06/2019;23;8;62
07/06/2019;24;7;63
08/06/2019;1;6;64
08/06/2019;2;5;64
08/06/2019;3;5;63
08/06/2019;4;8;60
08/06/2019;5;10;56
08/06/2019;6;9;56
08/06/2019;7;9;54
08/06/2019;8;8;56
08/06/2019;9;8;58
08/06/2019;10;7;59
08/06/2019;11;8;61
08/06/2019;12;7;64
08/06/2019;13;8;63
08/06/2019;14;8;65
08/06/2019;15;9;64
08/06/2019;16;11;64
08/06/2019;17;11;61
08/06/2019;18;16;58
08/06/2019;19;16;56
08/06/2019;20;24;48
08/06/2019;21;24;42
08/06/2019;22;26;39
08/06/2019;23;34;29
08/06/2019;24;46;23
09/06/2019;1;39;26
09/06/2019;2;48;13
09/06/2019;3;48;11
09/06/2019;4;48;4
09/06/2019;5;49;4
09/06/2019;6;36;14
09/06/2019;7;37;14
09/06/2019;8;34;19
09/06/2019;9;26;38
09/06/2019;10;15;54
09/06/2019;11;10;62
09/06/2019;12;13;57
09/06/2019;13;8;76
09/06/2019;14;5;93
09/06/2019;15;6;97
09/06/2019;16;8;94
09/06/2019;17;10;94
09/06/2019;18;14;90
09/06/2019;19;25;72
09/06/2019;20;26;65
09/06/2019;21;30;50
09/06/2019;22;32;41
09/06/2019;23;30;35
09/06/2019;24;21;44
10/06/2019;1;15;49
10/06/2019;2;14;47
10/06/2019;3;13;47
10/06/2019;4;11;46
10/06/2019;5;13;35
10/06/2019;6;18;36
10/06/2019;7;21;45
10/06/2019;8;13;57
10/06/2019;9;13;55
10/06/2019;10;10;56
10/06/2019;11;8;67
10/06/2019;12;8;65
10/06/2019;13;8;67
10/06/2019;14;7;69
10/06/2019;15;8;73
10/06/2019;16;9;71
10/06/2019;17;11;70
10/06/2019;18;9;75
10/06/2019;19;10;74
10/06/2019;20;10;70
10/06/2019;21;11;70
10/06/2019;22;11;64
10/06/2019;23;11;65
10/06/2019;24;13;60
11/06/2019;1;19;51
11/06/2019;2;31;34
11/06/2019;3;30;33
11/06/2019;4;24;21
11/06/2019;5;47;4
11/06/2019;6;52;10
11/06/2019;7;57;14
11/06/2019;8;52;24
11/06/2019;9;40;40
11/06/2019;10;25;56
11/06/2019;11;15;68
11/06/2019;12;10;78
11/06/2019;13;9;79
11/06/2019;14;11;80
11/06/2019;15;17;72
11/06/2019;16;21;67
11/06/2019;17;31;49
11/06/2019;18;32;46
11/06/2019;19;32;45
11/06/2019;20;29;35
11/06/2019;21;49;28
11/06/2019;22;49;23
11/06/2019;23;38;35
11/06/2019;24;32;28
