X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93,ObjectId
3.88689,43.5915,HERAULT,MONTPELLIER,34172,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,Fond,O3,7,83.5,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,771642,6277340,7549
1.41861,43.5756,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,O3,7,77.1,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,572227,6276450,7550
-0.038889,43.0969,HAUTES-PYRENEES,LOURDES,65286,Lourdes-Lapaca Urbain,FR50042,Urbaine,Fond,O3,7,59.8,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,452460,6226722,7551
3.50303,44.522,LOZERE,MENDE,48095,Mende - Vernede urbain,FR50801,Urbaine,Fond,O3,7,75.3,ug.m-3,horaire,2020-03-16T15:00:00.000Z,2020-03-16T16:00:00.000Z,t,739976,6380453,7552
3.50303,44.522,LOZERE,MENDE,48095,Mende - Vernede urbain,FR50801,Urbaine,Fond,O3,7,73.6,ug.m-3,horaire,2020-03-16T16:00:00.000Z,2020-03-16T17:00:00.000Z,t,739976,6380453,7553
2.23,43.6106,TARN,CASTRES,81065,Castres-Travet Urbain,FR50053,Urbaine,Fond,O3,7,75.7,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,637820,6279364,7554
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - urbain,FR50220,Urbaine,Fond,O3,7,72.1,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,691771,6177360,7555
0.179722,43.6303,GERS,PEYRUSSE-VIEILLE,32317,Peyrusse Vieille Rural,FR50020,Rurale Nationale,Fond,PM2.5,6001,1.2,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,472377,6285316,7556
4.37422,43.8344,GARD,NIMES,30189,Nîmes Sud - urbain,FR50211,Urbaine,Fond,PM2.5,6001,7.5,ug.m-3,horaire,2020-03-16T15:00:00.000Z,2020-03-16T16:00:00.000Z,t,810536,6304894,7557
1.373,43.631,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Piste ,FR50043,Périurbaine,Trafic,PM10,5,13.9,ug.m-3,horaire,2020-03-16T16:00:00.000Z,2020-03-16T17:00:00.000Z,t,568669,6282681,7558
1.46765,43.6431,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Rte Albi Trafic,FR50054,Urbaine,Trafic,PM2.5,6001,8.3,ug.m-3,horaire,2020-03-16T17:00:00.000Z,2020-03-16T18:00:00.000Z,t,576334,6283873,7559
3.50303,44.522,LOZERE,MENDE,48095,Mende - Vernede urbain,FR50801,Urbaine,Fond,PM2.5,6001,4.4,ug.m-3,horaire,2020-03-16T15:00:00.000Z,2020-03-16T16:00:00.000Z,t,739976,6380453,7560
